                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8254,                 5.3845,                 2.2018,                      0,                      0,                      0,                      0,                 4.0654,                 11.353,                 3.3316,              4.471e-05,              4.471e-05,              4.471e-05
                      2,                 2.1492,                 4.0587,                 1.7309,                      0,                      0,                      0,                      0,                 4.0359,                 44.771,                 3.1426,             8.9012e-05,             8.9012e-05,             8.9012e-05
                      3,                 2.0941,                 3.5636,                 1.6788,                      0,                      0,                      0,                      0,                 3.5957,                 6.6289,                 2.6306,             0.00013019,             0.00013019,             0.00013019
                      4,                 2.0995,                 3.2607,                 1.6077,                0.00012,                0.01111,                  7e-05,                  1e-05,                  3.295,                 5.6017,                 2.4656,             0.00016824,             0.00016824,             0.00016824
                      5,                 1.8934,                 2.8826,                 1.4882,                0.00044,                0.02778,                0.00054,                  9e-05,                  3.438,                 5.4585,                  2.505,             0.00020317,             0.00020317,             0.00020317
                      6,                 1.8546,                 2.7881,                 1.4784,                0.00102,                0.02778,                0.00069,                  7e-05,                 3.4802,                 5.1259,                 2.4207,             0.00021961,             0.00021961,             0.00021961
                      7,                 1.9141,                 2.7849,                   1.52,                0.00121,                0.09444,                0.00174,                0.00041,                 3.1517,                 4.8554,                 2.2165,             0.00021093,             0.00021093,             0.00021093
                      8,                 1.7854,                 2.4818,                 1.4376,                0.00109,                0.02778,                0.00375,                0.00131,                 3.0649,                 4.7149,                 2.2753,             0.00020225,             0.00020225,             0.00020225
                      9,                  1.772,                 2.2552,                 1.4302,                0.00585,                0.03333,                0.01073,                0.00621,                 3.2208,                 5.3392,                 2.1927,             0.00019357,             0.00019357,             0.00019357
                     10,                 1.6803,                  2.195,                 1.3741,                0.73824,                0.01667,                 0.0148,                0.00788,                 3.5234,                 4.6226,                 2.4117,             0.00018489,             0.00018489,             0.00018489
                     11,                 1.6369,                 1.9799,                 1.3317,                0.85006,                0.01667,                0.02705,                 0.0173,                  3.277,                  4.532,                 2.3194,             0.00017621,             0.00017621,             0.00017621
                     12,                 1.6731,                 2.0067,                 1.3857,                0.85664,                0.01667,                0.03399,                0.01761,                 3.2288,                 4.4328,                 2.1697,             0.00016753,             0.00016753,             0.00016753
                     13,                  1.616,                 1.9434,                 1.3426,                0.87197,                0.03333,                0.01114,                0.00312,                 3.4817,                 4.3996,                 2.2858,             0.00015885,             0.00015885,             0.00015885
                     14,                 1.5114,                 1.9054,                 1.3178,                0.91749,                0.01667,                 0.0356,                0.01899,                 3.4706,                  4.482,                 2.3293,             0.00015017,             0.00015017,             0.00015017
                     15,                 1.7035,                  2.024,                 1.4281,                0.90758,                0.03333,                0.04021,                0.02462,                 2.9097,                 4.1434,                  2.108,             0.00014149,             0.00014149,             0.00014149
                     16,                  1.587,                 1.8348,                 1.3339,                0.92951,                0.03333,                0.07259,                0.03866,                 2.7836,                 3.9364,                 2.0685,             0.00013281,             0.00013281,             0.00013281
                     17,                 1.4412,                 1.5439,                 1.2268,                      1,                0.03309,                0.05549,                0.02952,                 2.8594,                 3.7704,                 2.0305,             0.00012414,             0.00012414,             0.00012414
                     18,                 1.4657,                 1.6514,                 1.2867,                0.57556,                0.11111,                0.08738,                0.03509,                   2.73,                 3.7224,                 2.0336,             0.00011546,             0.00011546,             0.00011546
                     19,                 1.6052,                 1.7037,                 1.3478,                0.67489,                0.09444,                0.09085,                0.03529,                 2.8484,                 3.7309,                 2.1017,             0.00010678,             0.00010678,             0.00010678
                     20,                 1.4404,                 1.5428,                   1.26,                0.87606,                0.06108,                0.11429,                0.04539,                 2.9543,                 3.7288,                   2.11,             9.8099e-05,             9.8099e-05,             9.8099e-05
                     21,                 1.5591,                 1.7575,                 1.3713,                0.76829,                0.05374,                 0.0966,                0.04185,                 3.0376,                  3.924,                 2.2166,              8.942e-05,              8.942e-05,              8.942e-05
                     22,                 1.4169,                 1.5241,                 1.2963,                0.82216,                0.07049,                 0.0819,                0.03554,                 2.6915,                 3.9289,                 1.9535,             8.0741e-05,             8.0741e-05,             8.0741e-05
                     23,                  1.499,                  1.657,                 1.3601,                0.69985,                0.08333,                0.06997,                0.04064,                 2.6541,                 3.6768,                 1.9408,             7.2062e-05,             7.2062e-05,             7.2062e-05
                     24,                 1.3791,                 1.4873,                  1.295,                0.57083,                0.08509,                0.11355,                0.05296,                 2.4655,                 3.5482,                  1.878,             6.3383e-05,             6.3383e-05,             6.3383e-05
